
Остатки и доступность товаров

Параметры:	Показать обособленные товары: Нет
Отбор:	Склад В группе из списка "СОХ Санкт-Петербург СТС"

Склад			Сейчас			Ожидается				02.04.2026	Итого
Артикул	Номенклатура, Характеристика	Ед. изм.	В наличии	В резерве	Доступно	Поступит	В резерве	Доступно	Поступит	Поступит	Поступит
СОХ Санкт-Петербург СТС											
ППЛ-10 М	Картридж из вспененного полипропилена для холодной воды (лайт) 10 мкм, Аквабрайт 50/1	шт	165,000		165,000						
ППЛ-5 М	Картридж из вспененного полипропилена для холодной воды (лайт) 5 мкм, Аквабрайт 50/1	шт	265,000		265,000						
ПП-1 М	Картридж из вспененного полипропилена для холодной воды 1 мкм, Аквабрайт 50/1	шт	17,000		17,000						
ПП-10 М	Картридж из вспененного полипропилена для холодной воды 10 мкм, Аквабрайт 50/1	шт	548,000		548,000						
ПП-20 М	Картридж из вспененного полипропилена для холодной воды 20 мкм, Аквабрайт 50/1	шт	150,000		150,000						
ПП-5 М	Картридж из вспененного полипропилена для холодной воды 5 мкм, Аквабрайт 50/1	шт	250,000		250,000						
ВП-10 М	Картридж из крученой полипропиленовой веревки для холодной воды 10 мкм, Аквабрайт 50/1	шт	792,000		792,000						
ВП-5 М	Картридж из крученой полипропиленовой веревки для холодной воды 5 мкм, Аквабрайт 50/1	шт	650,000		650,000						
ВПК-10М	Картридж из пневматекстурированной полипропиленовой веревки для холодной воды 10 мкм, Аквабрайт 50/1	шт	450,000		450,000						
ВПК-5М	Картридж из пневматекстурированной полипропиленовой веревки для холодной воды 5 мкм, Аквабрайт 50/1	шт	200,000		200,000						
04904	Клапан запорный 1 1/2"  (вентиль) 15Б3р, AQUALINK 16/2	шт	35,000	16,000	19,000						
04914	Клапан запорный 1 1/2" (вентиль) 15Б1п, AQUALINK 16/2	шт	38,000	16,000	22,000						
04903	Клапан запорный 1 1/4"  (вентиль) 15Б3р, AQUALINK 32/4	шт	83,000	32,000	51,000						
04913	Клапан запорный 1 1/4" (вентиль) 15Б1п, AQUALINK 32/4	шт	89,000	15,000	74,000						
04902	Клапан запорный 1"  (вентиль) 15Б3р, AQUALINK 64/8	шт	410,000	64,000	346,000						
04912	Клапан запорный 1" (вентиль) 15Б1п, AQUALINK 64/8	шт	192,000	25,000	167,000						
